run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.test_accuracy,metrics.cv_accuracy,metrics.accuracy,params.max_depth,params.n_estimators,params.model,tags.mlflow.source.name,tags.mlflow.log-model.history,tags.mlflow.user,tags.mlflow.runName,tags.model_type,tags.mlflow.source.type
2ee26885f41c4db5b2cd0fa3343ea27d,1,FINISHED,/Users/liviaellen/Desktop/MSDS/SPRING2/mlops/notebooks/mlruns/1/2ee26885f41c4db5b2cd0fa3343ea27d/artifacts,2025-03-25 06:07:02.413000+00:00,2025-03-25 06:07:03.777000+00:00,0.8041958041958042,0.8137245769290484,,7,150,,/Users/liviaellen/.pyenv/versions/3.12.7/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,"[{""run_id"": ""2ee26885f41c4db5b2cd0fa3343ea27d"", ""artifact_path"": ""model"", ""utc_time_created"": ""2025-03-25 06:07:02.424765"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.7"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.1"", ""serialization_format"": ""cloudpickle"", ""code"": null}}, ""model_uuid"": ""0a4056662ead464c94ee269288bd3a35"", ""mlflow_version"": ""2.15.1"", ""model_size_bytes"": 1178909}]",liviaellen,RandomForest_Tuned,RandomForest_Tuned,LOCAL
da7d0c8ca87e4c08a82fab3c96cc688d,1,FINISHED,/Users/liviaellen/Desktop/MSDS/SPRING2/mlops/notebooks/mlruns/1/da7d0c8ca87e4c08a82fab3c96cc688d/artifacts,2025-03-25 06:02:57.344000+00:00,2025-03-25 06:02:58.856000+00:00,,,0.8041958041958042,,,RandomForest,/Users/liviaellen/.pyenv/versions/3.12.7/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,"[{""run_id"": ""da7d0c8ca87e4c08a82fab3c96cc688d"", ""artifact_path"": ""model"", ""utc_time_created"": ""2025-03-25 06:02:57.408266"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.7"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.1"", ""serialization_format"": ""cloudpickle"", ""code"": null}}, ""model_uuid"": ""ebf8b6909fd84aad8ace04c9ee654883"", ""mlflow_version"": ""2.15.1"", ""model_size_bytes"": 383870}]",liviaellen,RandomForest,RandomForest,LOCAL
3da8fc6009514f1b8d3ed63bc4b39d4a,1,FINISHED,/Users/liviaellen/Desktop/MSDS/SPRING2/mlops/notebooks/mlruns/1/3da8fc6009514f1b8d3ed63bc4b39d4a/artifacts,2025-03-25 06:00:15.040000+00:00,2025-03-25 06:00:16.577000+00:00,,,0.8111888111888111,,,RandomForest,/Users/liviaellen/.pyenv/versions/3.12.7/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,"[{""run_id"": ""3da8fc6009514f1b8d3ed63bc4b39d4a"", ""artifact_path"": ""model"", ""utc_time_created"": ""2025-03-25 06:00:15.103172"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""predict_fn"": ""predict"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.12.7"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""1.5.1"", ""serialization_format"": ""cloudpickle"", ""code"": null}}, ""model_uuid"": ""611c0b5fb6934c1888e2d77f3e7fd002"", ""mlflow_version"": ""2.15.1"", ""model_size_bytes"": 387230}]",liviaellen,RandomForest,RandomForest,LOCAL
